cartón,paperboard
grado,degree
guardería,kindergarten
jardín de infantes,Kinder garden
llorar,cry
noveno,nineth
odiar que...,hate that...
pronunciar,to pronounce
qué raro que,how strange that
rectángulo,rectangle
