almorzamos,we have lunch
almorzar,to have lunch
almuerzan,they have lunch
almuerzas,you have lunch
poder,to be able
podemos,we are able
puedo,can I
pueden,they can
probamos,we try
probar,to try
prueba,he/she/it tries
prueban,they try
pruebo,I try
