Δαβίδ,David
Καναδά,"sofa, couch, the sofa"
γορίλας,gorilla
δα,da
δράμα,drama
λα,peoples
λεμόνι,lemon
λο,Lo
μεγάλο,"big, large, great"
σκελετός,skeleton
