cursos,courses
me,me
me ama,she loves me
me ayudas,you help me
me compra,she buys me (she buys for me)
me conoce,she knows me
me enseña,she teaches me
me escucha,she listens to me
me llaman,they call me
me necesita,she needs me
muñeca,doll
nos,we
nos ayudan,they help us
nos compra,she buys us (she buys for us)
nos conocen,they know us
nos escuchan,they listen to us
nos llamas,you call us
nos visita,she visits us
te,you
te amo,I love you
te ayudo,I help you
te compra,she buys you (she buys for you)
te conozco,I know you
te llamamos,we call you
te necesito,I need you
te visitan,they visit you
me quiere, she loves me
idoma,language
