camarero,waiter
camarera,waitress
maestra,teacher (f)
portugués,Portuguese
joven,young
dirección,address
número,number
celular,cellphone
amigo,friend (m)
amiga,friend (f)
ser,to be
médico,doctor (m)
médica,doctor (f)
ciudad,city
pueblo,town
novio,boyfriend
novia,girlfriend
