hola,hello
adiós,goodbye
gracias,thank you
buenos días,good morning
buenas noches,good night
mucho gusto,nice to meet you
sí,yes
no,no
perdón,excuse me
por favor,please
de nada,you're welcome
lo siento,sorry
hablo,I speak
hablas,you speak
español,Spanish
inglés,English
disculpe,excuse me
