algunos de,some of
arma,"weapon, make a bundle!, make a fortune!"
atacar,"(to) finish, finish"
bombas,"bombs, big news, gas station"
delincuente,offender
explotar,"(to) explain, explain, explaining"
la mitad de,half of
terrorista,terrorism
un tercio de,a third of
uno de,one of
