dentro de,within
embarazado,to be pregnant
estricto,"test, tight, precise"
fallecer,die
internar,Internet
morir,(to) die
nacer,"born, (to) be born, (to) hatch"
pechos,"chest, (I) shove, (I) jostle"
pesar,"Despite, (to) weigh, (to) weigh out"
urgentemente,urgently
