avena,avenues
calentar,"to heat, warm, warmer"
cocinemos,let's cook
despierte,"(you) wake (up), (you) wake up, (you) wake (oneself) up"
huevos revueltos,scrambled eggs
lasaña,lasagna
merendar,to snack
quiera,"wants, (I/he/she/it/you) want"
recordar a,will remember
recuerde,"remember, remember!, (I/he/she/it/you) remember"
