bucear,to scuba dive
debe haber,there must be
debe haber sido,must have been
desafío,challenge
dolido,hurt
doloroso,painful
justos,"fairs, jousts, fair"
rodilla,knee
sucedido,"(he/she/it/you) happened, (he/she/it/you) succeeded, (he/she/it/you) inherited"
victoria,Victoria
