al revés,upside down
cuidar,"(to) look after, (to) take care, (to) take care of"
disculparse,"(I/he/she/it/you) would apologize, (I/he/she/it/you) would excuse"
echar una mano,give a helping hand
es una pena que,it's a shame that
limpiar,"clean, (to) clean, cleaned"
mantel,tablecloth
poner la mesa,set the table
qué mala suerte,What a bad luck
regar,water
