concentrarse,to concentrate
correctamente,correctly
desaprobar,disapprove
duro,hard
experimento,experiment
fuerte,"strong, bad, hard"
laboratorios,laboratories
lento,"slow, slowly"
promedios,average
totalmente,"totally, completely, quite"
