bajémonos,let's get off
buscar,"(to) look for, (to) search, (to) seek"
doblemos,let's bend
embotellamiento,traffic jam
hora pico,rush hour
motos,"motor scooter, scooters, motorcycles"
parada,"stop, stops"
por,"for, in, by"
rotonda,roundabout
vámonos,let's go
