comenzado,"started, commenced, begun"
considerar,"consider, (to) consider, (to) consider oneself"
construcción,"construction, building, structure"
dificultad,"difficulty, make … difficult!"
en total,total
financiero,Financial
industrias,"industries, diligence, resourcefulness"
producir,"(to) produce, (to) give rise to, (to) yield"
reunido,gotten together
trimestre,"≈ semester, term, quarter"
