costumbre,custom
fuera,outside
se almuerza,Have lunch
se desayuna,have breakfast
se puede
                    cenar,you can have dinner
se puede ir,you can go
se trabaja,you work
se usa,it's used
se vive,you live
tradicionales,traditional
