bautismo,baptism
claro que sí,of course
clase,"class, classroom, classes"
darse prisa,hurry up
lo lamento,I'm sorry
partida,"departure, batch, broken"
quedar,"(to) stay, (to) get together, keep"
recoger,"(to) pick, (to) pick up, (to) clear up"
siempre que,"whenever, as long as"
yerno,son-in-law
