casamiento,"marriage, wedding"
convención,convinced
decidido,decided
entretener,"fun, entertained"
entretenido,"fun, entertained"
inaugurado,inaugurated
inaugurar,inaugurate
planificado,"(to) plan, (to) draw up a plan for, plan"
planificar,"(to) plan, (to) draw up a plan for, plan"
qué bien,that's great
