a principios de,at the beginning of
apenado,sorry
de toda la vida,lifelong
editor,dedito
forma de ser,way of being
imaginarse,"(to) imagine (them), (to) come up with (them), (to) think up (them)"
memoria,"memory, memoirs, report"
puntualmente,promptly
rumor,"voices, rumor, rumors"
tacaño,"close, closed"
