albergue,hostel
alojarse,"staying, to lodge, stayed"
así,"so, like that, like this"
chico,"boy, guy, kid"
comodidades,mod cons
cubierto,covered
dicho sea de paso,incidentally
inmenso,"huge, enormous, great"
lujoso,"richer, rich"
no está nada mal,it's not bad at all
