cada,"each, every"
constante,"constant, constant feature, even"
conteste,answer
criticar,critics
disculpado,"(I/he/she/it/you) would apologize, (I/he/she/it/you) would excuse"
distraído,distracted
hacer enojar,piss off
poner de,put of
quieto,quiet
regañar,"(to) sell things at bargain prices, (to) sell … at bargain prices, give"
