αδύνατο,impossible
αργός,slow
επικίνδυνος,"dangerous, unsafe, hazardous"
λανθασμένος,"mistaken, wrong"
ξένος,"foreign, alien, strange"
σκοτεινός,dark
συχνός,more frequent
σωστός,"correct, true"
φοβισμένος,"afraid, scared"
φτηνός,"cheap, inexpensive"
φωτεινός,bright
όλος,of the whole
