άλλαξα,changed
άρεσα,like you (plural)
ένιωσα,felt
έφυγα,"went, I left, left"
ήξερα,"knew, I knew, known"
αγάπησα,loved
ακολούθησα,"follow, pursue"
θυμήθηκα,"I remembered, recalled"
πρόσθεσα,I added
ρώτησα,"by asking, asking, requesting"
