ζώντας,Living
θέλοντας,"whether you want to, whether one wants to, wanting"
κάνοντας,doing
κοιτάζοντας,"looking at, gazing at, staring at"
λέγοντας,"telling, saying"
μιλώντας,"talked, spoke, I spoke"
παίζοντας,"while playing, playing"
ρωτώντας,"by asking, asking, requesting"
τρέχοντας,running
τραγουδώντας,singing
