αργά,"late, slowly"
γενικά/γενικώς,generally
ειδικά,"especially, specifically"
καλά/καλώς,"well, fine"
μακριά,"far, far away, long"
νωρίς,"early, soon"
πραγματικά,"really, real, in fact"
πρώτα,"firstly, first"
συνήθως,usually
σύντομα/συντόμως,"soon, shortly"
