αναγνωρίζω,recognise
απαντώ,"answered, had answered, respond"
δίνει,"gives, is setting, give"
κόβω,"I cut, cut"
ξεκινώ,"did you begin, did you start"
ξοδεύω,"spend, spend (money), I spend money"
παραγγέλνω,order
πουλάω,sell
προσπαθώ,"I am trying, I try, attempt"
συνεχίζω,"continue, go on, keep on"
τελειώνω,"I finish, finish"
