άγγλος,"englishman, english"
αγγλία,"english (nationality), englishmen, english"
αγγλικός,English
γάλλος,french
γαλλία,france
γαλλικός,french
γερμανία,Germany
ισπανία,Spain
ισπανικός,Spanish
ισπανός,spanish
