αναγκασμένος,had to
απαγορευμένος,"forbidden, prohibited"
γεμισμένος,stuffed
διαβασμένος,well-read
καλεσμένος,invited
μαγειρεμένος,cooked
πεσμένος,"cheerless, in low spirits, down in the dumps"
πλυμένος,"washed, clean"
τελειωμένος,"finished, done for"
χαμένος,lost
