αγαπήσω,love
γράψω,(I) write
δω,"see, watch"
δώσω,"give, I will give"
ζήσω,"living, live"
κόψω,cut
πάω,"go, I go, going"
πρόκειται,"be going to + verb, we are going to"
τρέξω,run
φάω,eat
