αγοράζω,"I buy, to buy, buying"
ακούω,"hear, (I) hear, (I) listen (to)"
βρέχει,"it rains, rains, It is raining"
δουλεύω,"I work, I am working, work"
είμαι,"I am, I'm, be"
λέω,"say, (I) say, am telling"
να,to
παίζω,"play, I play, am playing"
πηγαίνω,"go, I am going, get"
πρέπει,must
