αγαπάω,"love, you love"
αγοράζω,"I buy, to buy, buying"
ακούω,"hear, (I) hear, (I) listen (to)"
βλέπω,"see, I see, (I) am watching"
γράφω,"write, (I) write, (I am) writing"
δείχνω,"show, I show, I point"
κοιτώ,"see, look, look (at)"
λέω,"say, (I) say, am telling"
φέρνω,"bring, I bring, fetch"
χρησιμοποιώ,"use, (we) use"
