έλληνας,greek (ethnicity masc.)
ακρόπολη,Acropolis
γλυκό του κουταλιού,dessert spoon
ελληνίδα,Greek
ελληνικός,greek (adj. masc.)
θεσσαλονίκη,"Thessaloniki, to Thessaloniki., Salonica"
κρήτη,Crete
μαγειρική,"cooking, cookery"
παρθενώνας,Parthenon
σπάρτη,Sparta
