teniendo,"having, taking"
pagando,"paying, paying for, paying off"
corriendo,running
tocando,"playing, touching"
dando,"giving, going"
pasando,"happening, going on, having"
dejando,"leaving, letting, abandoning"
utilizando,using
incluyendo,"including, even"
mirando,"looking at, watching"
