acercarse,getting closer
asustarse,get scared
espera,wait
gata,cat
gatas,cats
lo,it
lobo,wolf
mosca,fly
orilla,bank
oíste que,did you hear that
permitir,let
picar,sting
tortuga,turtle
tortugas,turtles
