cielo,"sky, heaven"
en,"in, at, on"
eres,"(you) are, (?) are you, you're"
gustas,"like, (you) like, (you) taste"
hola,"hello, hi"
número,number
ojos,eyes
por,"for, in, by"
quieres,"(you) want, (?) do you want, (you) love"
una,"a, an, one"
