έξυπνος,"clever, smart"
ήσυχος,quiet
ανεξάρτητος,independent
αρνητικός,"negative, disapproving"
αστείος,funny
γλυκός,sweet
κακός,bad
καλός,"good, a good, kind"
υπεύθυνος,"responsible, in charge, liable"
χαρακτήρας,character
