άσχημος,"ugly, nasty, terrible"
αδύνατος,thin
καστανός,brown
μάτι,eye
μεγάλος,"big, old"
μικρός,"small, young, little"
νέος,"young, new, modern"
πρόσωπο,"face, person"
χοντρός,fat
όμορφος,"beautiful, handsome, pretty"
