έχει,"has, does....have, he has"
απάντηση,"an answer, response, a reply"
γιατί,"why, because"
ερωτήσεις,"questions, queries"
ερώτηση,"question, inquiry"
ποια,"what, which, who"
ποιανής,whose
ποιανού,whose
ποιος,"who, which, What"
πού,"where, from"
πόσα,"how many, how, how much"
πόσες,how many
πόσο,"how much, how"
πότε,when
πώς,"how, what"
τι,"what a, What did, what"
