αυτά,"these, they, the things"
αυτές,"these, they, them"
αυτούς,"them, these, they"
αυτόν,"him, this"
αυτός ο,"this, that"
εκείνα,those
εκείνο,"that, that one"
εκείνοι,those
εκείνον,that
εκείνος,that
τις,the
τον,"the, him"
τους,the
όλα,"all, everything, from all"
όλες,"all, everybody"
όλοι,"everyone, everybody"
