έχει,"has, does....have, he has"
έχεις,"do you have, have, you have"
έχω,"have, I have"
αυτή,"she, this, her"
αυτός,"he, this, it"
είμαι,"I am, I'm, be"
είναι,"is, are, It is"
είσαι,"are, are you, be"
εγώ,"I, Me"
εσύ,"you, you (singular)"
