αρκετός,enough
λίγος,a few
λιγότερο,less
μισό,half (a/an)
περισσότερο,more
πλειοψηφία,"majority, In the majority, a majority"
πολλή,"much, a lot of"
πολύ,"very, a lot, too"
πολύς,"much, great, a lot"
ποσό,"amount, sum"
