abrazo,"hold, hug"
beso,"(I) kiss each other, (I) kiss"
discoteca,"club, dance club"
en el,at
humor,"mood, humor"
paseo,walk
ponerse,"put, (to) put on"
regalar,"(to) sell things at bargain prices, (to) sell … at bargain prices, give"
romance,romantic
sueño,"dream, sleepy, tired"
