echar,"got, get, (to) get"
entrenador,"coach, manager, team manager"
escúchalo,listen to it
grites,(you) shout
lancen,canceled
pegar,pears
penal,"searches, pedals, stopcock"
portero,halle
pásame,"pass (on) (me)!, happen (me)!, go through (me)!"
tírame,played
