arrogante,arrogant
desempleado,unemployed
fotocopia,photocopy
las afueras de la ciudad,the outskirts of the city
llevarse,"(to) drive (him/her/it), (to) lead (him/her/it), (to) wear (him/her/it)"
molesto,"(I) am a nuisance, (I) bother, (I) disturb"
primer piso,first floor
sala de reunión,Conference room
satisfecho,"pleased, satisfied"
sincero,"sincere, open"
