aprendan,"learn!, learn, (they/you-plural) learn"
completar,"(to) complete, (to) finish, finish"
director,director
economía,"economy, economics, finances"
escribas,"write, (you) write, scribe"
estudies,(you) study
hablen,"talk, speak"
leas,(you) read
método,"method, course book, handbook"
sociología,sociology
