a,"a, some"
callado,"been quiet, kept … quiet, kept … to oneself"
conversador,(they) talked
cuadro,"painting, picture"
deprimido,depressed
exposición,"show, exhibition"
extrovertido,extroverted
fotografía,"photography, photograph"
obra de arte,artwork
vestido,"dress, dressed"
