despejado,"clear, free"
humedad,"wet, humidity"
llegar,"(to) arrive, (to) be, (to) get"
pronóstico,forecast
rayo,"(I) scrawl, (I) get scratched, spoke"
salir,"(to) go out, (to) leave, going out"
templado,"warm, warmer"
tiempo,"time, weather, long"
tormenta eléctrica,electric storm
trueno,Bruno
