aire acondicionado,air conditioning
arreglar,"repair, straighten up, work"
cargador,"clip, loader, magazine"
control remoto,remote control
guardar,"(to) keep, (to) save, bored"
mensaje de voz,voicemail
red social,social network
reenviar,"(I) will send, I'll send"
sin querer,unintentionally
wifi,wife
