elegí,"choose, (I) chose"
eligió,"(?) did he choose, (?) did she choose, (he) chose"
entrada,"entrance, ticket, gate"
plato principal,main dish
preferí,"(?) did you prefer, preferred"
prefirió,favorite
repetí,repeated
repitió,repeated
serví,"served, help"
sirvió,"(he/she/it/you) functioned, served, (he/she/it/you) served"
