a,"a, some"
aumentar,"(to) increase, (to) rise, (to) raise"
avisar,"informed, called"
contar,"tell, (to) count, (to) tell"
iba a,was going to
iban a,They went to
nunca más,never more
portarse,behave
prometer,"(they/you-plural) promise oneself, (they/you-plural) hope, (they/you-plural) show / have promise"
sueldo,salary
