Word,Translations
el,the
hombre,man
la,the
mujer,woman
yo,I
un,a
una,one
soy,I am
niño,boy
niña,girl
él,he
es,it is
ella,she
come,he eats
tú,you
eres,you are
manzanas,apples
pan,bread
como,I eat
comes,you eat
agua,water
leche,milk
bebe,he drinks
bebo,I drink
bebes,you drink
