Word,Translations
los gatos,the cats
los perros,dogs
conejo,rabbit
elefante,elephant
peligroso,dangerous
fuerte,"strong, bad, hard"
rápido,"fast, quickly, quick"
útil,useful
las frutas,the fruits
los padres,parents
verdura,"vegetable, verdure, green"
los médicos,the doctors
los lunes,on Monday
domingo,Sunday
el ciclismo,cycling
los deportes,sports
el fútbol,football
el baloncesto,basketball
el ajedrez,the chess
gramática,grammar
pesado,heavy
los maestros,teachers
agricultor,farmer
dinosaurio,dinosaur
oso,bear
el inglés,English
el español,the Spanish
insecto,insect
