Word,Translations
hola,"hello, hi"
adiós,"goodbye, bye"
gracias,"thanks, thank you"
buenos días,good morning
buenas noches,"good evening, good night"
mucho gusto,"so nice to meet you, nice to meet you"
sí,"yes, yeah, does"
no,"no, any"
perdón,"sorry, excuse me, pardon"
por favor,please
de nada,"you're welcome, you are welcome"
lo siento,"sorry, I'm sorry, I am sorry"
hablo,"(I) speak, (I) talk, (I) am talking"
hablas,"(you) speak, (?) do you speak, (you) are speaking"
español,Spanish
inglés,English
disculpe,"excuse me, pardon"
