Word,Translations
hoy,today
lunes,"Monday, Mondays"
mañana,"tomorrow, morning"
partido,"game, match, departed"
martes,"Tuesday, Tuesdays"
fútbol,"soccer, football"
cuándo,when
miércoles,"Wednesday, Wednesdays"
jueves,"Thursday, Thursdays"
viernes,"Friday, Fridays"
día,day
béisbol,baseball
qué,"what, how, so"
cumpleaños,"birthday, birthdays"
tu,your
sábado,Saturday
fiesta,"party, parties"
domingo,Sunday
concierto,concert
divertido,"fun, funny"
divertida,"fun, funny"
baile,"dancing, dance"
favorito,favorite
favorita,favorite
película,"movie, film"
semana,week
fin de semana,weekend
disfruta,"(he) enjoys, (he) is enjoying, (you) enjoy"
