Word,Translations
sería,"would, be, (I/he/she/it/you) would be"
estaría,"would, be, (I/he/she/it/you) would be"
tendría,"would, have, (I/he/she/it/you) would have"
haría,"(I) would throw"
gustar,"like, (to) like"
beberían,"drink, (they/you-plural) would drink, would"
comería,"eat, (I/he/she/it/you) would eat, lunch"
diría,"tell, say, (I/he/she/it/you) would say"
