Word,Translations
cuántas,how many
éste,"this, this one, these"
muchos,"many, a lot of, much"
cualquier,"any, anything"
alguna,"any, one, some"
ninguna,"any, no, neither"
qué,"what, how, so"
ambos,both
alguno,"one, any, some (people)"
una,"a, an, one"
uno,"1, one, uno"
esta,this
cualquiera,"any, anyone, just anyone"
que,"to, that, than"
esa,"that, that one, those"
ese,"that, the"
