acuerdo,(I) remember
aumentara,"(to) increase, (to) rise, (to) raise"
defender,"(to) defend, (to) defend oneself, (to) uphold"
discriminación,discrimination
fundamental,"fundamental, essential, basics"
imprescindible,essential
inmigrante,immigrant
líder,leader
no tener por qué,not have why
voto,"(I) vote, (I) vote for, (I) vote to approve"
