abrelatas,can opener
almendra,"almonds, kernel"
batidora,blender
frambuesa,raspberry
igual que,like
legumbre,"legume, vegetables, pulses"
licuadora,blender
nutritivo,nutritious
picadora,"bit, bite"
picar,"(to) bite, snack, (to) snack"
