aún no,not yet
botiquín,first aid kit
cambiar de idea,change of idea
ganar tiempo,gain time
guardado,kept
me dices,you tell me
pasar,"(to) pass, (to) spend, happen"
que yo sepa,far as I know
recorrido,"flew, walked, were they going"
tener confianza,have confidence
