adolescencia,adolescence
brevemente,briefly
comportamientos,"behavior, performance"
controlar,"(to) control, (to) control oneself, (to) check"
familiares,"estate car, homes, economy-size"
meterse en problemas,get into trouble
reunión,meeting
todos,"all, all of, every"
trabajara,"(I/he/she/it/you) work on, (I/he/she/it/you) stock, (I/he/she/it/you) perform"
¿no crees?,Don't you think
