adjuntar,to attach
batería,"battery, drums, drum kit"
buscador,search engine
celular,"cellphone, cell phone, cell"
estafar,states
los de,those of
nombre de usuario,Username
rúter,router
seguridad,"safety, security, confidence"
señal,sign
