al aire libre,outdoor
desilusionado,disappointed
discusiones,"discussions, arguments"
estuviera,"was, (I/he/she/it/you) be, (I/he/she/it/you) stay"
evidente,"evident, clear, obvious"
fuera,"out, were, (she) go"
fuéramos,"(we) go, (we) escape, (we) be"
introvertido,introverted
ojalá,"I wish, i hope, hopefully"
tuviera,"had, (I/he/she/it/you) have"
