cartón,"cartoon, cartoons"
grado,"grade, degree"
guardería,guardería
jardín de infantes,Kinder garden
llorar,"(to) cry, crying"
noveno,ninth
odiar que...,hate that ...
pronunciar,"quit, stand"
qué raro que,how strange that
rectángulo,rectangle
