británica,"Britisher, Briton, British person"
embajadores,ambassadors
joven,"young, young woman"
monarquía,monarchy
organizarse,(?) did you organize
partido,"game, match, departed"
primer ministro,Prime Minister
protestar,protesting
publicarse,be published
sudamericano,South American
