batiendo,churning
calabaza,pumpkin
cantando,"singing, singing the praises of, babbling"
clara,clear
hervir,"(to) boiling, (to) boil, (to) sterilize"
hirviendo,"helping, serving"
leche descremada,skim milk
participante,"competitor, participant, participating"
programa de cocina,Cooking show
saber,"know, (to) know, hear"
